scraping_date,scraping_time,floorplan_name,bedroom,bathroom,apartment_number,square_footage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022-05-23,0,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,0,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,0,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,0,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,0,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,0,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,0,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,0,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,0,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,0,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,0,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,0,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,0,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,0,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,0,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,0,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,0,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,0,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,0,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,0,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,2,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,2,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,2,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,2,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,2,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,2,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,2,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,2,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,2,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,2,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,2,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,2,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,2,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,2,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,2,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,2,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,2,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,2,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,2,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,2,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,3,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,3,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,3,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,3,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,3,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,3,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,3,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,3,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,3,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,3,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,3,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,3,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,3,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,3,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,3,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,3,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,3,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,3,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,3,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,3,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,4,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,4,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,4,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,4,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,4,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,4,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,4,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,4,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,4,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,4,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,4,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,4,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,4,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,4,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,4,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,4,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,4,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,4,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,4,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,4,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,6,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,6,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,6,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,6,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,6,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,6,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,6,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,6,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,6,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,6,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,6,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,6,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,6,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,6,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,6,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,6,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,6,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,6,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,6,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,6,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,7,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,7,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,7,Aspen,1,1,1215,592,1430,1957,5,23,2022
2022-05-23,7,Azalea,1,1,1034,599,1460,1996,5,23,2022
2022-05-23,7,Azalea,1,1,1013,599,1415,1939,5,23,2022
2022-05-23,7,Azalea,1,1,1016,599,1538,2081,5,23,2022
2022-05-23,7,Beech,1,1,2414,851,1661,2273,5,23,2022
2022-05-23,7,Beech,1,1,716,851,1719,2331,5,23,2022
2022-05-23,7,Beech,1,1,1116,851,1734,2325,5,25,2022
2022-05-23,7,Cypress,2,2,2027,987,1708,2188,5,23,2022
2022-05-23,7,Cypress,2,2,1727,987,1782,2289,5,23,2022
2022-05-23,7,Cypress,2,2,638,987,1861,2367,5,23,2022
2022-05-23,7,Dogwood,2,2,2622,1233,1907,2444,5,23,2022
2022-05-23,7,Dogwood,2,2,1322,1233,2005,2553,5,23,2022
2022-05-23,7,Dogwood,2,2,1312,1233,1980,2617,6,5,2022
2022-05-23,7,Elm,2,1,338,1114,1801,2308,5,23,2022
2022-05-23,7,Elm,2,1,2511,1114,1834,2514,7,4,2022
2022-05-23,7,Elm,2,1,712,1114,1834,2499,7,13,2022
2022-05-23,7,Fir,3,2,908,1350,2546,3762,5,23,2022
2022-05-23,7,Fir,3,2,922,1350,2569,3517,7,5,2022
2022-05-23,8,Aspen,1,1,2314,592,1430,1957,5,23,2022
2022-05-23,8,Aspen,1,1,1424,592,1430,1957,5,23,2022
2022-05-23,8,Aspen,1,1,1215,592,1430,1957,5,23,2022
