scraping_date,scraping_time,floorplan_name,bedroom,bathroom,apartment_number,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,17,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,17,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,17,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,17,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,17,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,17,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,18,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,18,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,18,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,18,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,18,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,18,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,19,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,19,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,19,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,19,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,19,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,19,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,20,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,20,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,20,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,20,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,20,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,20,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,21,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,21,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,21,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,21,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,21,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,21,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,21,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,22,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,22,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,22,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,22,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,22,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,22,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,22,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,23,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,23,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,23,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,23,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,23,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,23,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,23,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,24,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,24,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,24,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,24,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,24,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,24,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,24,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,25,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,25,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,25,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,25,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,25,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,25,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,25,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,26,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,26,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,26,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,26,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,26,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,26,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,26,2022
2022/05/17,22,Hampton Classic II,1,1,720,1510,1515,5,27,2022
2022/05/17,22,Hampton Deluxe,1,1,720,1630,1645,5,27,2022
2022/05/17,22,Fillmore Classic II,1,1,1040,1640,1680,5,27,2022
2022/05/17,22,Berkeley Deluxe,1,1,970,1790,1810,5,27,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1825,5,27,2022
2022/05/17,22,Davenport Renovated,2,2,1310,2055,2055,5,27,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,27,2022
2022/05/17,22,Hampton Classic II,1,1,720,1515,1515,5,28,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,5,28,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,28,2022
2022/05/17,22,Hampton Classic II,1,1,720,1515,1515,5,29,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,5,29,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,29,2022
2022/05/17,22,Hampton Classic II,1,1,720,1515,1515,5,30,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,5,30,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,30,2022
2022/05/17,22,Hampton Classic II,1,1,720,1515,1515,5,31,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,5,31,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,5,31,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,6,1,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,1,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,6,2,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,2,2022
2022/05/17,22,Fillmore Deluxe,1,1,1040,1815,1815,6,3,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,3,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,3,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,4,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,4,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,4,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,5,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,5,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,5,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,6,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,6,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,6,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,7,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,7,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,7,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,8,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,8,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,8,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,9,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,9,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,9,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,10,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,10,2022
2022/05/17,22,Englewood Deluxe,2,2,1380,2270,2270,6,10,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,11,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,11,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,11,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,12,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,12,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,12,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,13,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,13,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,13,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,14,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,14,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,14,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,15,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,15,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,15,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,16,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,16,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,16,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,17,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,17,2022
2022/05/17,22,Davenport Deluxe,2,2,1310,2065,2065,6,17,2022
2022/05/17,22,Hampton Classic II,1,1,720,1500,1500,6,18,2022
2022/05/17,22,Davenport Classic II,2,2,1310,1855,1855,6,18,2022
