scraping_date,scraping_time,floorplan_name,bedroom,bathroom,apartment_number,square_footage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/16,12,Aspen,1,1,1424,592,1424,1956,5,16,2022
2022/05/16,12,Aspen,1,1,1215,592,1424,1956,5,16,2022
2022/05/16,12,Aspen,1,1,0414,592,1379,1897,5,16,2022
2022/05/16,12,Azalea,1,1,1034,599,1454,1996,5,16,2022
2022/05/16,12,Azalea,1,1,1013,599,1441,1980,5,16,2022
2022/05/16,12,Azalea,1,1,1016,599,1532,2081,5,16,2022
2022/05/16,12,Beech,1,1,2414,851,1613,2217,5,16,2022
2022/05/16,12,Beech,1,1,0716,851,1621,2211,5,16,2022
2022/05/16,12,Beech,1,1,1116,851,1686,2304,5,25,2022
2022/05/16,12,Cypress,2,2,1727,987,1775,2258,5,16,2022
2022/05/16,12,Cypress,2,2,0638,987,1805,2295,5,16,2022
2022/05/16,12,Cypress,2,2,2428,987,1770,2337,6,15,2022
2022/05/16,12,Dogwood,2,2,2622,1233,1949,2496,5,16,2022
2022/05/16,12,Dogwood,2,2,1322,1233,2047,2606,5,16,2022
2022/05/16,12,Dogwood,2,2,1312,1233,2022,2672,6,5,2022
2022/05/16,12,Elm,2,1,0338,1114,1838,2348,5,16,2022
2022/05/16,12,Elm,2,1,2511,1114,1830,2509,7,4,2022
2022/05/16,12,Elm,2,1,0712,1114,1830,2494,7,13,2022
2022/05/16,12,Ficus,3,2,1923,1456,2517,3483,6,29,2022
2022/05/16,12,Ficus,3,2,0212,1456,2452,3646,7,31,2022
2022/05/16,12,Fir,3,2,0922,1350,2467,3369,7,5,2022
2022/05/16,12,Fir,3,2,1012,1350,2447,3639,7,28,2022
2022/05/16,12,Aspen,1,1,1424,592,1424,1956,5,16,2022
2022/05/16,12,Aspen,1,1,1215,592,1424,1956,5,16,2022
2022/05/16,12,Aspen,1,1,0414,592,1379,1897,5,16,2022
2022/05/16,12,Azalea,1,1,1034,599,1454,1996,5,16,2022
2022/05/16,12,Azalea,1,1,1013,599,1441,1980,5,16,2022
2022/05/16,12,Azalea,1,1,1016,599,1532,2081,5,16,2022
2022/05/16,12,Beech,1,1,2414,851,1613,2217,5,16,2022
2022/05/16,12,Beech,1,1,0716,851,1621,2211,5,16,2022
2022/05/16,12,Beech,1,1,1116,851,1686,2304,5,25,2022
2022/05/16,12,Cypress,2,2,1727,987,1775,2258,5,16,2022
2022/05/16,12,Cypress,2,2,0638,987,1805,2295,5,16,2022
2022/05/16,12,Cypress,2,2,2428,987,1770,2337,6,15,2022
2022/05/16,12,Dogwood,2,2,2622,1233,1949,2496,5,16,2022
2022/05/16,12,Dogwood,2,2,1322,1233,2047,2606,5,16,2022
2022/05/16,12,Dogwood,2,2,1312,1233,2022,2672,6,5,2022
2022/05/16,12,Elm,2,1,0338,1114,1838,2348,5,16,2022
2022/05/16,12,Elm,2,1,2511,1114,1830,2509,7,4,2022
2022/05/16,12,Elm,2,1,0712,1114,1830,2494,7,13,2022
2022/05/16,12,Ficus,3,2,1923,1456,2517,3483,6,29,2022
2022/05/16,12,Ficus,3,2,0212,1456,2452,3646,7,31,2022
2022/05/16,12,Fir,3,2,0922,1350,2467,3369,7,5,2022
2022/05/16,12,Fir,3,2,1012,1350,2447,3639,7,28,2022
2022/05/16,13,Aspen,1,1,1424,592,1424,1956,5,16,2022
2022/05/16,13,Aspen,1,1,1215,592,1424,1956,5,16,2022
2022/05/16,13,Aspen,1,1,0414,592,1379,1897,5,16,2022
2022/05/16,13,Azalea,1,1,1034,599,1454,1996,5,16,2022
2022/05/16,13,Azalea,1,1,1013,599,1441,1980,5,16,2022
2022/05/16,13,Azalea,1,1,1016,599,1532,2081,5,16,2022
2022/05/16,13,Beech,1,1,2414,851,1613,2217,5,16,2022
2022/05/16,13,Beech,1,1,0716,851,1621,2211,5,16,2022
2022/05/16,13,Beech,1,1,1116,851,1686,2304,5,25,2022
2022/05/16,13,Cypress,2,2,1727,987,1775,2258,5,16,2022
2022/05/16,13,Cypress,2,2,0638,987,1805,2295,5,16,2022
2022/05/16,13,Cypress,2,2,2428,987,1770,2337,6,15,2022
2022/05/16,13,Dogwood,2,2,2622,1233,1949,2496,5,16,2022
2022/05/16,13,Dogwood,2,2,1322,1233,2047,2606,5,16,2022
2022/05/16,13,Dogwood,2,2,1312,1233,2022,2672,6,5,2022
2022/05/16,13,Elm,2,1,0338,1114,1838,2348,5,16,2022
2022/05/16,13,Elm,2,1,2511,1114,1830,2509,7,4,2022
2022/05/16,13,Elm,2,1,0712,1114,1830,2494,7,13,2022
2022/05/16,13,Ficus,3,2,1923,1456,2517,3483,6,29,2022
2022/05/16,13,Ficus,3,2,0212,1456,2452,3646,7,31,2022
2022/05/16,13,Fir,3,2,0922,1350,2467,3369,7,5,2022
2022/05/16,13,Fir,3,2,1012,1350,2447,3639,7,28,2022
2022/05/17,09,Aspen,1,1,1424,592,1424,1956,5,17,2022
2022/05/17,09,Aspen,1,1,1215,592,1424,1956,5,17,2022
2022/05/17,09,Aspen,1,1,0414,592,1379,1897,5,17,2022
2022/05/17,09,Azalea,1,1,1034,599,1454,1996,5,17,2022
2022/05/17,09,Azalea,1,1,1013,599,1441,1980,5,17,2022
2022/05/17,09,Azalea,1,1,1016,599,1532,2081,5,17,2022
2022/05/17,09,Beech,1,1,2414,851,1613,2217,5,17,2022
2022/05/17,09,Beech,1,1,0716,851,1621,2211,5,17,2022
2022/05/17,09,Beech,1,1,1116,851,1686,2304,5,25,2022
2022/05/17,09,Cypress,2,2,1727,987,1775,2258,5,17,2022
2022/05/17,09,Cypress,2,2,2428,987,1770,2337,6,15,2022
2022/05/17,09,Cypress,2,2,1717,987,1750,2379,7,17,2022
2022/05/17,09,Dogwood,2,2,2622,1233,1949,2496,5,17,2022
2022/05/17,09,Dogwood,2,2,1322,1233,2047,2606,5,17,2022
2022/05/17,09,Dogwood,2,2,1312,1233,2022,2672,6,5,2022
2022/05/17,09,Elm,2,1,0338,1114,1838,2348,5,17,2022
2022/05/17,09,Elm,2,1,2511,1114,1830,2509,7,4,2022
2022/05/17,09,Elm,2,1,0712,1114,1830,2494,7,13,2022
2022/05/17,09,Ficus,3,2,0212,1456,2452,3646,7,31,2022
2022/05/17,09,Fir,3,2,0922,1350,2467,3369,7,5,2022
